Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,79.000000,79.919998,78.209999,79.029999,79.029999,926800
2022-08-02,79.470001,80.070000,78.360001,79.639999,79.639999,969700
2022-08-03,79.760002,84.500000,79.629997,84.500000,84.500000,1901400
2022-08-04,84.629997,87.910004,84.610001,87.080002,87.080002,2287600
2022-08-05,87.099998,87.099998,84.959999,85.570000,85.570000,977300
2022-08-08,86.169998,87.589996,84.510002,84.570000,84.570000,1297400
2022-08-09,85.150002,85.839996,81.510002,82.500000,82.500000,1403300
2022-08-10,83.489998,87.000000,83.349998,86.400002,86.400002,1462800
2022-08-11,87.500000,87.589996,83.529999,83.970001,83.970001,1873500
2022-08-12,87.199997,90.690002,85.800003,89.750000,89.750000,2155000
2022-08-15,88.820000,89.750000,87.510002,89.410004,89.410004,1611500
2022-08-16,90.010002,90.089996,86.830002,87.849998,87.849998,1110700
2022-08-17,87.360001,90.489998,86.570000,88.730003,88.730003,728500
2022-08-18,88.839996,90.089996,87.720001,89.360001,89.360001,1316700
2022-08-19,89.389999,89.839996,87.730003,88.790001,88.790001,1154800
2022-08-22,88.500000,89.430000,87.680000,88.389999,88.389999,680700
2022-08-23,88.459999,89.370003,88.080002,88.769997,88.769997,602000
2022-08-24,88.989998,91.870003,88.940002,90.959999,90.959999,967700
2022-08-25,91.389999,92.400002,90.129997,90.900002,90.900002,733700
2022-08-26,91.400002,92.180000,90.220001,90.500000,90.500000,496300
2022-08-29,90.150002,92.500000,89.599998,91.800003,91.800003,718200
2022-08-30,91.849998,93.070000,91.160004,92.180000,92.180000,782600
2022-08-31,92.690002,93.589996,92.029999,92.400002,92.400002,954900
2022-09-01,93.699997,95.360001,92.379997,93.900002,93.900002,1385200
2022-09-02,94.870003,95.120003,92.239998,92.870003,92.870003,2525200
2022-09-05,93.089996,94.169998,92.589996,93.309998,93.309998,676600
2022-09-06,92.989998,93.150002,90.379997,91.660004,91.660004,1289700
2022-09-08,92.110001,93.419998,91.070000,92.250000,92.250000,1072000
2022-09-09,93.309998,94.379997,92.500000,93.150002,93.150002,701700
2022-09-12,93.750000,96.000000,93.720001,94.690002,94.690002,1134200
2022-09-13,93.589996,94.309998,92.510002,94.000000,94.000000,905800
2022-09-14,94.010002,95.190002,93.099998,94.699997,94.699997,787900
2022-09-15,94.580002,95.089996,93.680000,94.559998,94.559998,894600
2022-09-16,93.709999,94.760002,92.709999,94.750000,94.750000,1388400
2022-09-19,94.199997,98.220001,94.199997,97.419998,97.419998,1431800
2022-09-20,97.550003,98.510002,96.989998,98.000000,98.000000,1058800
2022-09-21,98.190002,100.180000,97.400002,99.199997,99.199997,1066200
2022-09-22,100.099998,101.529999,99.010002,100.849998,100.849998,1164100
2022-09-23,99.250000,100.300003,98.220001,99.779999,99.779999,1470100
2022-09-26,99.889999,99.930000,96.459999,96.769997,96.769997,752300
2022-09-27,96.660004,97.519997,96.279999,96.500000,96.500000,1744300
2022-09-28,96.570000,97.769997,95.010002,96.750000,96.750000,1157000
2022-09-29,95.919998,96.720001,94.779999,96.449997,96.449997,1161000
